delta_longi,sst,atms,u10,v10
0,-78.076,54.293,-0.75,-1
0,-74.075,59.569,-1,-1.25
93,-79.66,59.967,-1,-1.25
-92.9,-49.656,50.357,-1.25,-1.5
0,-69.159,41.547,-1.25,-1.5
0,-66.159,127.242,-1.25,-1.5
0,-65.408,101.613,-1.25,-1.5
0,-94.659,66.87,-1.25,-1.5
0,-142.256,76.236,-1.5,-1.75
0,-149.871,77.277,-1.5,-1.75
0,-154.314,56.464,-1.5,-1.75
0,-160.66,52.301,-1.5,-1.75
0,-113.063,60.626,-1.5,-1.75
0,-117.505,67.911,-1.75,-2
0,-108.331,103.745,-1.75,-2
0,-108.331,110.871,-1.75,-2
0,-167.645,180.095,-1.75,-2
0,-174.706,180.095,-1.75,-2
0,-174.706,160.753,-2,-2.25
0,-178.237,160.753,-2,-2.25
0,-169.057,134.285,-2,-2.25
0,-135.164,95.602,-2,-2.25
0,-96.27,75.115,-2,-2.25
0.1,-116.054,79.402,-2.25,-2.5
0,-135.839,66.539,-2.25,-2.5
0,-111.343,68.683,-2.25,-2.5
0,-96.27,100.841,-2.25,-2.5
0,-100.979,85.834,-2.25,-2.5
0,-86.848,79.402,-2.25,-2.5
0.8,-80.003,57.757,-2.5,-2.75
-0.7,-86.616,38.807,-2.5,-2.75
0,-46.943,63.742,-2.5,-2.75
0,-46.943,73.716,-2.5,-2.75
0,-63.473,105.634,-2.5,-2.75
0.2,-70.085,113.613,-2.5,-2.75
0,-88.946,109.904,-2.5,-2.75
0,-201.991,100.131,-2.5,-2.75
0.5,-196.853,96.577,-2.5,-2.75
-0.4,-169.105,103.685,-2.5,-2.75
0,-150.606,120.565,-2.5,-2.75
0,-136.22,115.234,-2.5,-2.75
0.1,-129.025,122.342,-2.25,-2.5
0,-86.466,45.692,-2.25,-2.5
0,-100.421,55.982,-2.25,-2.5
0,-136.577,98.172,-2.25,-2.5
0,-149.898,119.78,-2.25,-2.5
0,-184.151,139.331,-2.25,-2.5
0,-206.352,168.144,-2.25,-2.5
0,-194.927,168.667,-2.25,-2.5
0,-190.471,158.823,-2.25,-2.5
0,-181.558,133.228,-2,-2.25
0,-163.733,102.712,-2,-2.25
0,-168.19,90.899,-2,-2.25
0,-169.304,98.774,-2,-2.25
0,-118.058,56.444,-1.75,-2
0,-71.038,45.469,-1.75,-2
0.3,-95.719,61.714,-1.75,-2
0,-268.487,165.369,-1.75,-2
-0.4,-223.051,171.557,-1.75,-2
0,-179.298,133.653,-1.5,-1.75
0,-126.01,88.014,-1.5,-1.75
0,-122.719,73.37,-1.5,-1.75
0,-85.394,29.263,-1.5,-1.75
0,-256.686,139.532,-1.5,-1.75
0.4,-280.013,150.118,-1.5,-1.75
0,-203.365,170.407,-1.25,-1.5
0,-169.374,156.293,-1.25,-1.5
-0.5,-125.273,114.97,-1.25,-1.5
0.5,-84.063,41.901,-1.25,-1.5
-0.5,-128.765,62.426,-1.25,-1.5
0,-157.402,97.729,-1.25,-1.5
0,-222.359,127.284,-1.25,-1.5
-0.1,-206.294,117.433,-1.25,-1.5
0,-195.169,109.391,-1,-1.25
0,-269.677,139.907,-1,-1.25
0,-314.064,141.433,-1,-1.25
0,-340.221,149.062,-1,-1.25
0,-172.182,106.339,-1,-1.25
0,-105.601,76.586,-1,-1.25
0,-151.735,133.027,-1,-1.25
0,-157.168,133.027,-1,-1.25
0,-252.254,131.334,-0.75,-1
0,-311.117,132.463,-0.75,-1
0,-328.323,128.512,-0.75,-1
0,-331.945,127.383,-0.75,-1
0,-156.263,82.795,-0.75,-1
-0.1,-134.529,89.568,-0.75,-1
0,-115.412,99.301,-0.75,-1
0.1,-116.873,94.502,-0.75,-1
0,-73.037,100.5,-0.5,-0.75
0,-77.42,100.5,-0.5,-0.75
0,-143.175,152.083,-0.5,-0.75
0.1,-58.979,72.094,-0.5,-0.75
0,-43.092,77.17,0,-0.25
-0.1,-45.361,82.246,0,-0.25
0,-56.709,87.322,-0.25,-0.5
0,-72.595,99.504,-0.25,-0.5
-0.02,-46.496,123.869,-0.5,-0.75
0.02,-49.9,159.402,-0.5,-0.75
0,-48.366,197.09,-0.25,-0.5
0.6,-35.608,44.802,-0.25,-0.5
-0.5,-40.827,48.783,-0.25,-0.5
0,-30.389,72.672,-0.25,-0.5
0,-19.951,77.648,-0.25,-0.5
0,-18.146,72.973,-0.25,-0.5
0,-20.888,86.417,-0.25,-0.5
0,-60.919,100.702,-0.25,-0.5
0,-87.789,125.91,-0.25,-0.5
0,-105.885,137.674,-0.5,-0.75
0.5,-109.176,140.195,-0.5,-0.75
0,-37.888,146.077,-0.5,-0.75
0,-48.307,144.396,-0.5,-0.75
-0.4,-45.593,131.725,-0.5,-0.75
0,-48.788,90.814,-0.5,-0.75
0,-40.003,65.693,-0.75,-1
0,-52.782,87.943,-0.75,-1
0,-88.722,136.749,-0.75,-1
0,-127.059,188.425,-0.75,-1
0,-82.333,108.039,-0.75,-1
0,-79.138,95.12,-1,-1.25
0,-91.915,97.584,-1,-1.25
0,-108.383,89.933,-1,-1.25
0,-218.17,256.344,-1.25,-1.5
0,-242.872,287.586,-1.25,-1.5
0,-98.777,104.598,-1.25,-1.5
0.1,-104.267,116.074,-1.25,-1.5
0,-132.622,130.286,-1.25,-1.5
0,-132.622,132.071,-1.5,-1.75
0,-160.573,163.005,-1.5,-1.75
0,-151.256,114.819,-1.5,-1.75
0,-139.277,107.085,-1.5,-1.75
0,-42.264,46.46,-1.75,-2
0,-53.272,57.896,-1.75,-2
0,-80.292,87.302,-1.75,-2
0.3,-105.311,117.525,-1.75,-2
0,-54.273,128.961,-2,-2.25
-0.2,-36.26,106.089,-2,-2.25
0,-38.444,89.429,-2,-2.25
0,-37.386,78.372,-2,-2.25
0,-12,27.232,-2,-2.25
0,-20.462,50.038,-2,-2.25
0,-27.866,61.786,-2,-2.25
0.1,-42.675,81.828,-2,-2.25
0,-58.541,100.487,-2.25,-2.5
0,-32.097,70.079,-2.25,-2.5
0,-33.093,41.033,-2.25,-2.5
0,-22.812,5.116,-2.25,-2.5
0,-76.272,83.048,-2.25,-2.5
0.1,-130.76,153.526,-2.25,-2.5
0.1,-137.063,82.89,-2.25,-2.5
0,-115.646,90.032,-2.25,-2.5
0,-128.905,91.053,-2.25,-2.5
0,-147.262,82.89,-2.25,-2.5
0.1,-139.104,72.686,-2.25,-2.5
0,-86.07,78.808,-2.25,-2.5
0,-65.112,90.039,-2.25,-2.5
0,-38.742,25.05,-2.25,-2.5
0.1,-33.638,20.798,-2.25,-2.5
0,-37.041,26.872,-2.25,-2.5
0.1,-37.041,41.449,-2.5,-2.75
0,-10.91,14.128,-2.5,-2.75
0,-6.734,14.128,-2.5,-2.75
0.1,-25.944,60.014,-2.5,-2.75
0,-18.427,111.195,-2.5,-2.75
0,-19.262,133.255,-2.5,-2.75
0,-20.529,129.461,-2.5,-2.75
0.1,-24.851,108.336,-2.5,-2.75
0,-56.181,164.398,-2.5,-2.75
0,-66.984,180.648,-2.5,-2.75
0.4,-75.626,183.085,-2.5,-2.75
-0.3,-84.269,184.71,-2.5,-2.75
0,-96.153,186.335,-2.5,-2.75
0,-98.313,184.71,-2.5,-2.75
0,-95.842,184.35,-2.5,-2.75
0.1,-104.914,167.454,-2.5,-2.75
0,-77.698,117.533,-2.5,-2.75
0.1,-68.626,115.229,-2.5,-2.75
0,-83.368,197.405,-2.5,-2.75
0,-84.502,165.917,-2.5,-2.75
0.2,-71.303,102.902,-2.5,-2.75
0,-66.653,122.6,-2.5,-2.75
0,-96.875,113.704,-2.5,-2.75
0.1,-96.101,115.61,-2.5,-2.75
0,-89.376,104.288,-2.25,-2.5
0.1,-34.34,57.552,-2.25,-2.5
0,-50.155,75.078,-2.25,-2.5
0,-46.359,70.905,-2.25,-2.5
0.1,-46.455,53.475,-2.25,-2.5
0,-42.813,93.818,-2.25,-2.5
0,-47.184,98.738,-2.25,-2.5
0.6,-47.184,103.658,-2.25,-2.5
-0.5,-44.998,101.69,-2.25,-2.5
0,-25.328,39.698,-2.25,-2.5
0.5,-27.513,10.179,-2.25,-2.5
-0.4,-33.788,36.713,-2.25,-2.5
0,-30.043,36.713,-2.25,-2.5
0,-17.559,18.683,-2.25,-2.5
0,-33.788,21.258,-2.25,-2.5
0,-48.769,31.562,-2.25,-2.5
0,-76.233,44.44,-2.25,-2.5
0,-68.743,52.168,-2.25,-2.5
0,-72.413,73.943,-2.25,-2.5
0,-79.298,73.943,-2.25,-2.5
0.4,-106.837,134.28,-2.25,-2.5
-0.3,-110.968,137.9,-2.25,-2.5
0,-149.521,171.688,-2,-2.25
0,-223.502,175.317,-2,-2.25
0,-149.964,69.871,-2,-2.25
-0.1,-149.964,61.367,-2,-2.25
0,-226.221,109.66,-2,-2.25
0,-246.605,95.166,-2,-2.25
